cited,cites
W2884561390,W2570343428
W2884561390,W1536680647
W2884561390,W2102605133
W2884561390,W1861492603
W2884561390,W2274287116
W2884561390,W2179352600
W2884561390,W2163605009
W2884561390,W639708223
W1996941025,W2050379798
W1996941025,W2119913861
W1996941025,W2066309940
W2611772571,W2165242200
W2611772571,W2121745948
W2611772571,W1978648105
W2611772571,W1989120577
W2611772571,W2607030186
W2611772571,W2051416171
W2611772571,W1974038018
W2611772571,W2611772571
W2137070227,W2024306642
W2559588208,W2110256992
W2559588208,W2173732482
W2559588208,W2739999456
W2559588208,W2178043251
W2766447205,W2919115771
W2766447205,W2194775991
W2766447205,W2145339207
W2766447205,W2257979135
W2766447205,W2126316555
W2766447205,W2606722458
W2766447205,W1977655452
W2766447205,W2192203593
W2766447205,W2163605009
W2432815617,W2137586531
W2116327492,W2951826594
W2895486342,W2082704080
W2895486342,W2040547343
W2895486342,W2256016639
W2895486342,W2104549677
W2895486342,W2511515754
W2895486342,W2116868464
W2895486342,W2102213696
W2033151532,W2155496693
W1901616594,W4292363360
W1901616594,W2076063813
W1901616594,W2163605009
W1901616594,W2160815625
W1901616594,W2145339207
W1901616594,W2174706414
W1901616594,W1554944419
W2143612262,W2160815625
W2143612262,W2144499799
W2984472267,W2794480084
W2984472267,W2794521141
W2984472267,W2951506174
W2984472267,W2146512944
W2984472267,W2766437506
W2984472267,W2169456326
W2984472267,W2889326414
W2984472267,W2902652978
W2984472267,W2070050178
W2984472267,W2345356016
W3083406432,W2153544371
W3083406432,W3136918052
W3083406432,W2734356283
W3083406432,W3007643904
W3083406432,W3083406432
W3092861045,W2341244791
