Node ID,Year 0 (Deviation Score), Year 0 (Is Anomaly),Year 1 (Deviation Score), Year 1 (Is Anomaly),Year 2 (Deviation Score), Year 2 (Is Anomaly),Year 3 (Deviation Score), Year 3 (Is Anomaly),Year 4 (Deviation Score), Year 4 (Is Anomaly),Mean Deviation Score,Anomaly Status Churn
2011,0.12486798975927134,0,0.1308037261478603,0,0.13081012635181347,0,0.12472491067213316,0,0.12473584548570216,0,0.1271885196833561,0
2012,0.10919409367488697,0,0.10839280911022797,0,0.10088298217548679,0,0.10911230492638424,0,0.10911233375857894,0,0.10733890472911298,0
2013,0.1362251415848732,0,0.13545030945291123,0,0.135439809722205,0,0.13615276633451381,0,0.1361445877701044,0,0.13588252297292153,0
2014,0.12483663779372971,0,0.13876829637835422,0,0.13876851772268614,0,0.12101513628537457,0,0.12511122312086323,0,0.12969996226020156,0
2015,0.09042837812254827,0,0.11125442253736158,0,0.11125447795105477,0,0.09042784703585009,0,0.09042780838596325,0,0.0987585868065556,0
2016,0.09042332864676912,0,0.600044866790995,1,0.11125073201643924,0,0.0904229167693605,0,0.09042287672248979,0,0.19651294418921075,1
2017,0.10034280138400693,0,0.10357346121842663,0,0.154113001578177,0,0.10034281100767355,0,0.10034279610651235,0,0.1117429742589593,0
2018,0.06306517791623871,0,0.14332553565812609,0,0.14332556010534367,0,0.07224810418362419,0,0.061051678067694105,0,0.09660321118620536,0
2019,0.12672587427853918,0,0.11212338926270604,0,0.34843606129288673,1,0.12640151885959008,0,0.12643976422259584,0,0.16802532158326358,1
2020,0.10557701772389312,0,0.12592546036466956,0,0.1259254578811427,0,0.08603119753145923,0,0.10557701570602755,0,0.10980722984143843,0
2021,0.09975205121251444,0,0.13869356721018752,0,0.13869356721018752,0,0.11015206901356578,0,0.09975204927225907,0,0.11740866078374287,0
2022,0.04882848138610522,0,2.632417520818611,1,2.3230007609042027,1,0.048828475177288055,0,0.04882848386963209,0,1.0203807444311677,1
